timestamp, utilization.gpu [%], power.draw [W]
2026/03/03 10:54:06.892, 6 %, 6.15 W
2026/03/03 10:54:07.900, 5 %, 5.58 W
2026/03/03 10:54:08.900, 6 %, 5.66 W
2026/03/03 10:54:09.900, 5 %, 5.64 W
2026/03/03 10:54:10.900, 6 %, 5.57 W
2026/03/03 10:54:11.901, 6 %, 5.71 W
2026/03/03 10:54:12.901, 6 %, 5.94 W
2026/03/03 10:54:13.901, 3 %, 7.52 W
2026/03/03 10:54:14.902, 0 %, 10.02 W
2026/03/03 10:54:15.903, 0 %, 9.97 W
2026/03/03 10:54:16.903, 0 %, 9.97 W
2026/03/03 10:54:17.903, 4 %, 11.42 W
2026/03/03 10:54:18.904, 4 %, 10.93 W
2026/03/03 10:54:19.904, 4 %, 11.44 W
2026/03/03 10:54:20.904, 4 %, 11.37 W
2026/03/03 10:54:21.904, 4 %, 10.47 W
2026/03/03 10:54:22.905, 4 %, 10.55 W
2026/03/03 10:54:23.905, 8 %, 10.61 W
2026/03/03 10:54:24.905, 5 %, 10.48 W
2026/03/03 10:54:25.906, 4 %, 10.45 W
2026/03/03 10:54:26.906, 3 %, 10.46 W
2026/03/03 10:54:27.906, 5 %, 10.51 W
2026/03/03 10:54:28.908, 3 %, 10.60 W
2026/03/03 10:54:29.908, 4 %, 10.52 W
2026/03/03 10:54:30.909, 21 %, 11.29 W
2026/03/03 10:54:31.909, 5 %, 11.09 W
2026/03/03 10:54:32.909, 6 %, 8.39 W
2026/03/03 10:54:33.910, 6 %, 5.72 W
2026/03/03 10:54:34.910, 1 %, 9.76 W
2026/03/03 10:54:35.910, 1 %, 10.13 W
2026/03/03 10:54:36.911, 0 %, 10.11 W
2026/03/03 10:54:37.911, 32 %, 11.43 W
2026/03/03 10:54:38.911, 4 %, 10.50 W
2026/03/03 10:54:39.912, 4 %, 11.45 W
2026/03/03 10:54:40.912, 5 %, 11.56 W
2026/03/03 10:54:41.913, 5 %, 11.04 W
2026/03/03 10:54:42.913, 5 %, 10.60 W
2026/03/03 10:54:43.913, 5 %, 10.63 W
2026/03/03 10:54:44.914, 4 %, 10.48 W
2026/03/03 10:54:45.914, 4 %, 10.47 W
2026/03/03 10:54:46.914, 4 %, 10.46 W
2026/03/03 10:54:47.914, 3 %, 10.94 W
2026/03/03 10:54:48.915, 3 %, 10.71 W
2026/03/03 10:54:49.915, 4 %, 10.63 W
2026/03/03 10:54:50.916, 12 %, 10.79 W
2026/03/03 10:54:51.916, 9 %, 11.94 W
2026/03/03 10:54:52.917, 4 %, 10.56 W
2026/03/03 10:54:53.917, 6 %, 8.38 W
2026/03/03 10:54:54.918, 11 %, 5.68 W
2026/03/03 10:54:55.918, 0 %, 10.17 W
2026/03/03 10:54:56.919, 0 %, 10.10 W
2026/03/03 10:54:57.919, 0 %, 10.15 W
2026/03/03 10:54:58.920, 25 %, 11.08 W
2026/03/03 10:54:59.920, 4 %, 11.21 W
2026/03/03 10:55:00.920, 0 %, 11.48 W
2026/03/03 10:55:01.920, 5 %, 11.80 W
2026/03/03 10:55:02.920, 3 %, 10.83 W
2026/03/03 10:55:03.921, 5 %, 10.91 W
2026/03/03 10:55:04.921, 5 %, 10.80 W
2026/03/03 10:55:05.921, 4 %, 10.72 W
2026/03/03 10:55:06.921, 7 %, 11.20 W
2026/03/03 10:55:07.921, 4 %, 11.75 W
2026/03/03 10:55:08.922, 4 %, 14.34 W
2026/03/03 10:55:09.922, 3 %, 13.19 W
2026/03/03 10:55:10.922, 6 %, 11.08 W
2026/03/03 10:55:11.922, 4 %, 10.92 W
2026/03/03 10:55:12.922, 5 %, 10.92 W
2026/03/03 10:55:13.923, 4 %, 11.18 W
2026/03/03 10:55:14.923, 19 %, 11.67 W
2026/03/03 10:55:15.923, 4 %, 10.89 W
2026/03/03 10:55:16.924, 6 %, 8.31 W
2026/03/03 10:55:17.925, 5 %, 5.57 W
