timestamp, utilization.gpu [%], power.draw [W], utilization.memory [%], temperature.gpu
2025/11/29 22:46:50.661,0,5.81,0.0,38.0
2025/11/29 22:46:51.670,0,5.86,0.0,38.0
2025/11/29 22:46:52.670,2,6.41,0.0,38.0
2025/11/29 22:46:53.670,5,8.16,0.0,38.0
2025/11/29 22:46:54.670,1,7.01,0.0,38.0
2025/11/29 22:46:55.670,0,7.41,0.0,38.0
2025/11/29 22:46:56.671,2,7.33,0.0,38.0
2025/11/29 22:46:57.671,2,7.36,0.0,38.0
2025/11/29 22:46:58.671,2,7.29,0.0,38.0
2025/11/29 22:46:59.671,2,7.42,0.0,38.0
2025/11/29 22:47:00.671,2,7.63,0.0,38.0
2025/11/29 22:47:01.672,2,7.28,0.0,38.0
2025/11/29 22:47:02.672,2,7.38,0.0,38.0
2025/11/29 22:47:03.673,2,7.78,0.0,38.0
2025/11/29 22:47:04.673,4,7.69,0.0,38.0
2025/11/29 22:47:05.674,2,7.29,0.0,38.0
2025/11/29 22:47:06.674,2,7.28,0.0,38.0
2025/11/29 22:47:07.674,2,7.66,0.0,38.0
2025/11/29 22:47:08.675,2,7.42,0.0,38.0
2025/11/29 22:47:09.675,2,7.24,0.0,38.0
2025/11/29 22:47:10.676,0,6.72,0.0,38.0
2025/11/29 22:47:11.676,4,7.51,0.0,38.0
2025/11/29 22:47:12.676,0,5.89,0.0,38.0
2025/11/29 22:47:13.677,2,5.83,0.0,38.0
2025/11/29 22:47:14.678,0,5.87,0.0,38.0
2025/11/29 22:47:15.679,1,6.46,0.0,38.0
2025/11/29 22:47:16.679,12,7.93,0.0,38.0
2025/11/29 22:47:17.680,1,7.53,0.0,38.0
2025/11/29 22:47:18.681,0,6.37,0.0,38.0
2025/11/29 22:47:19.681,5,7.45,0.0,38.0
2025/11/29 22:47:20.681,2,7.43,0.0,38.0
2025/11/29 22:47:21.682,2,7.74,0.0,38.0
2025/11/29 22:47:22.682,4,7.92,0.0,38.0
2025/11/29 22:47:23.683,4,7.74,0.0,38.0
2025/11/29 22:47:24.684,2,7.83,0.0,38.0
2025/11/29 22:47:25.685,5,7.95,0.0,38.0
2025/11/29 22:47:26.685,2,7.39,0.0,38.0
2025/11/29 22:47:27.686,2,7.4,0.0,38.0
2025/11/29 22:47:28.687,2,8.0,0.0,39.0
2025/11/29 22:47:29.688,4,7.91,0.0,39.0
2025/11/29 22:47:30.689,2,7.97,0.0,39.0
2025/11/29 22:47:31.689,4,8.01,0.0,39.0
2025/11/29 22:47:32.690,4,7.74,0.0,39.0
2025/11/29 22:47:33.691,4,8.23,0.0,39.0
2025/11/29 22:47:34.691,2,6.0,0.0,38.0
2025/11/29 22:47:35.692,0,5.88,0.0,38.0
2025/11/29 22:47:36.693,0,5.71,0.0,38.0
2025/11/29 22:47:37.694,0,5.72,0.0,38.0
2025/11/29 22:47:38.695,0,6.03,0.0,38.0
2025/11/29 22:47:39.696,0,5.78,0.0,38.0
2025/11/29 22:47:40.697,0,5.74,0.0,38.0
2025/11/29 22:47:41.697,0,5.82,0.0,38.0
2025/11/29 22:47:42.697,0,5.88,0.0,38.0
2025/11/29 22:47:43.698,0,5.86,0.0,38.0
2025/11/29 22:47:44.699,1,5.89,0.0,38.0
2025/11/29 22:47:45.700,0,5.89,0.0,38.0
2025/11/29 22:47:46.701,0,5.65,0.0,38.0
2025/11/29 22:47:47.702,0,5.68,0.0,38.0
2025/11/29 22:47:48.702,0,5.76,0.0,38.0
2025/11/29 22:47:49.703,0,5.61,0.0,38.0
2025/11/29 22:47:50.704,0,5.77,0.0,38.0
2025/11/29 22:47:51.705,0,5.76,0.0,38.0
2025/11/29 22:47:52.706,0,5.49,0.0,38.0
2025/11/29 22:47:53.706,0,5.69,0.0,38.0
2025/11/29 22:47:54.706,0,5.77,0.0,38.0
2025/11/29 22:47:55.706,0,5.69,0.0,38.0
2025/11/29 22:47:56.707,0,5.72,0.0,38.0
2025/11/29 22:47:57.708,0,5.93,0.0,38.0
2025/11/29 22:47:58.708,0,5.7,0.0,38.0
2025/11/29 22:47:59.709,0,5.99,0.0,38.0
2025/11/29 22:48:00.710,2,5.99,0.0,38.0
2025/11/29 22:48:01.710,3,6.16,0.0,38.0
2025/11/29 22:48:02.711,0,5.9,0.0,38.0
2025/11/29 22:48:03.712,0,5.99,0.0,38.0
