timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2025/11/29 22:46:50.661, 0, 0, 5.81, 38
2025/11/29 22:46:51.670, 0, 0, 5.86, 38
2025/11/29 22:46:52.670, 2, 0, 6.41, 38
2025/11/29 22:46:53.670, 5, 0, 8.16, 38
2025/11/29 22:46:54.670, 1, 0, 7.01, 38
2025/11/29 22:46:55.670, 0, 0, 7.41, 38
2025/11/29 22:46:56.671, 2, 0, 7.33, 38
2025/11/29 22:46:57.671, 2, 0, 7.36, 38
2025/11/29 22:46:58.671, 2, 0, 7.29, 38
2025/11/29 22:46:59.671, 2, 0, 7.42, 38
2025/11/29 22:47:00.671, 2, 0, 7.63, 38
2025/11/29 22:47:01.672, 2, 0, 7.28, 38
2025/11/29 22:47:02.672, 2, 0, 7.38, 38
2025/11/29 22:47:03.673, 2, 0, 7.78, 38
2025/11/29 22:47:04.673, 4, 0, 7.69, 38
2025/11/29 22:47:05.674, 2, 0, 7.29, 38
2025/11/29 22:47:06.674, 2, 0, 7.28, 38
2025/11/29 22:47:07.674, 2, 0, 7.66, 38
2025/11/29 22:47:08.675, 2, 0, 7.42, 38
2025/11/29 22:47:09.675, 2, 0, 7.24, 38
2025/11/29 22:47:10.676, 0, 0, 6.72, 38
2025/11/29 22:47:11.676, 4, 0, 7.51, 38
2025/11/29 22:47:12.676, 0, 0, 5.89, 38
2025/11/29 22:47:13.677, 2, 0, 5.83, 38
2025/11/29 22:47:14.678, 0, 0, 5.87, 38
2025/11/29 22:47:15.679, 1, 0, 6.46, 38
2025/11/29 22:47:16.679, 12, 0, 7.93, 38
2025/11/29 22:47:17.680, 1, 0, 7.53, 38
2025/11/29 22:47:18.681, 0, 0, 6.37, 38
2025/11/29 22:47:19.681, 5, 0, 7.45, 38
2025/11/29 22:47:20.681, 2, 0, 7.43, 38
2025/11/29 22:47:21.682, 2, 0, 7.74, 38
2025/11/29 22:47:22.682, 4, 0, 7.92, 38
2025/11/29 22:47:23.683, 4, 0, 7.74, 38
2025/11/29 22:47:24.684, 2, 0, 7.83, 38
2025/11/29 22:47:25.685, 5, 0, 7.95, 38
2025/11/29 22:47:26.685, 2, 0, 7.39, 38
2025/11/29 22:47:27.686, 2, 0, 7.40, 38
2025/11/29 22:47:28.687, 2, 0, 8.00, 39
2025/11/29 22:47:29.688, 4, 0, 7.91, 39
2025/11/29 22:47:30.689, 2, 0, 7.97, 39
2025/11/29 22:47:31.689, 4, 0, 8.01, 39
2025/11/29 22:47:32.690, 4, 0, 7.74, 39
2025/11/29 22:47:33.691, 4, 0, 8.23, 39
2025/11/29 22:47:34.691, 2, 0, 6.00, 38
2025/11/29 22:47:35.692, 0, 0, 5.88, 38
2025/11/29 22:47:36.693, 0, 0, 5.71, 38
2025/11/29 22:47:37.694, 0, 0, 5.72, 38
2025/11/29 22:47:38.695, 0, 0, 6.03, 38
2025/11/29 22:47:39.696, 0, 0, 5.78, 38
2025/11/29 22:47:40.697, 0, 0, 5.74, 38
2025/11/29 22:47:41.697, 0, 0, 5.82, 38
2025/11/29 22:47:42.697, 0, 0, 5.88, 38
2025/11/29 22:47:43.698, 0, 0, 5.86, 38
2025/11/29 22:47:44.699, 1, 0, 5.89, 38
2025/11/29 22:47:45.700, 0, 0, 5.89, 38
2025/11/29 22:47:46.701, 0, 0, 5.65, 38
2025/11/29 22:47:47.702, 0, 0, 5.68, 38
2025/11/29 22:47:48.702, 0, 0, 5.76, 38
2025/11/29 22:47:49.703, 0, 0, 5.61, 38
2025/11/29 22:47:50.704, 0, 0, 5.77, 38
2025/11/29 22:47:51.705, 0, 0, 5.76, 38
2025/11/29 22:47:52.706, 0, 0, 5.49, 38
2025/11/29 22:47:53.706, 0, 0, 5.69, 38
2025/11/29 22:47:54.706, 0, 0, 5.77, 38
2025/11/29 22:47:55.706, 0, 0, 5.69, 38
2025/11/29 22:47:56.707, 0, 0, 5.72, 38
2025/11/29 22:47:57.708, 0, 0, 5.93, 38
2025/11/29 22:47:58.708, 0, 0, 5.70, 38
2025/11/29 22:47:59.709, 0, 0, 5.99, 38
2025/11/29 22:48:00.710, 2, 0, 5.99, 38
2025/11/29 22:48:01.710, 3, 0, 6.16, 38
2025/11/29 22:48:02.711, 0, 0, 5.90, 38
