timestamp, utilization.gpu [%], power.draw [W]
2026/03/05 13:57:45.917, 0 %, 22.93 W
2026/03/05 13:57:46.919, 0 %, 23.45 W
2026/03/05 13:57:47.919, 0 %, 31.66 W
2026/03/05 13:57:48.919, 0 %, 62.37 W
2026/03/05 13:57:49.920, 15 %, 62.86 W
2026/03/05 13:57:50.921, 0 %, 73.72 W
2026/03/05 13:57:51.921, 0 %, 75.67 W
2026/03/05 13:57:52.921, 0 %, 68.32 W
2026/03/05 13:57:53.921, 0 %, 62.63 W
2026/03/05 13:57:54.921, 0 %, 72.01 W
2026/03/05 13:57:55.921, 0 %, 75.43 W
2026/03/05 13:57:56.921, 0 %, 68.46 W
2026/03/05 13:57:57.922, 0 %, 62.98 W
2026/03/05 13:57:58.922, 0 %, 75.41 W
2026/03/05 13:57:59.922, 0 %, 76.65 W
2026/03/05 13:58:00.922, 0 %, 68.42 W
2026/03/05 13:58:01.932, 0 %, 63.53 W
2026/03/05 13:58:02.932, 0 %, 75.71 W
