#Date        Time         gpu  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx   MB/s   MB/s 
 20260306    17:36:04       0      7      0 
 20260306    17:36:05       0      1      0 
 20260306    17:36:06       0      0      0 
 20260306    17:36:07       0      4      4 
 20260306    17:36:08       0      0      0 
 20260306    17:36:09       0      0      4 
 20260306    17:36:10       0      2      0 
 20260306    17:36:12       0     16      6 
 20260306    17:36:13       0     11     12 
 20260306    17:36:14       0    132     50 
