procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 53562372 636660 5711952    0    0   514   206 25845    4 59  1 40  0  0  0
 1  0      0 52535300 636668 5722344    0    0     0   192 15708 11029 13  1 86  0  0  0
 2  0      0 52408272 636684 5722376    0    0     0   252 14247 15862  6  1 93  0  0  0
36  0      0 52271572 636684 5726084    0    0   216     0 24942 42407 58  1 40  0  0  0
34  0      0 52242936 636684 5728136    0    0     0   568 33578 59372 91  1  8  0  0  0
 5  0      0 52242748 636684 5726132    0    0     0  1992 34591 62958 89  1  9  0  0  0
37  0      0 52232888 636684 5726140    0    0     0    12 33864 59400 90  1  9  0  0  0
 7  0      0 52198848 636692 5726156    0    0     8   232 34247 60409 90  1  9  0  0  0
35  0      0 52196400 636692 5723032    0    0     0     0 33622 59374 89  1  9  0  0  0
34  0      0 52219448 636692 5723040    0    0     0   436 33153 57631 90  1  9  0  0  0
 1  0      0 51975032 636692 5791932    0    0     0   228 23954 48327 14  1 85  0  0  0
 0  0      0 53728244 636700 5716056    0    0     0   712 6052 6286  2  1 97  0  0  0
