Linux 6.17.0-14-generic (IS-WiN-PC14) 	03/06/2026 	_x86_64_	(32 CPU)

05:36:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:36:51 PM  all   12.42    0.00    1.44    0.00    0.00    0.00    0.00    0.00    0.00   86.14
05:36:51 PM    0   12.24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   87.76
05:36:51 PM    1    8.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.09
05:36:51 PM    2   10.10    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   87.88
05:36:51 PM    3    8.91    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   89.11
05:36:51 PM    4   34.00    0.00   20.00    0.00    0.00    0.00    0.00    0.00    0.00   46.00
05:36:51 PM    5   31.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00   61.00
05:36:51 PM    6   32.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   67.00
05:36:51 PM    7   25.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   74.75
05:36:51 PM    8   12.12    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   86.87
05:36:51 PM    9    8.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
05:36:51 PM   10   13.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
05:36:51 PM   11    8.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.92
05:36:51 PM   12   12.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   87.88
05:36:51 PM   13    8.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
05:36:51 PM   14    9.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.91
05:36:51 PM   15    8.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.09
05:36:51 PM   16   10.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
05:36:51 PM   17    8.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.92
05:36:51 PM   18   10.20    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   88.78
05:36:51 PM   19   11.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
05:36:51 PM   20    9.90    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   88.12
05:36:51 PM   21   10.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
05:36:51 PM   22    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
05:36:51 PM   23   11.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
05:36:51 PM   24   10.10    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   88.89
05:36:51 PM   25    9.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
05:36:51 PM   26    9.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.91
05:36:51 PM   27   10.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
05:36:51 PM   28    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
05:36:51 PM   29   10.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
05:36:51 PM   30   10.10    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   87.88
05:36:51 PM   31    9.09    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   89.90

05:36:51 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:36:52 PM  all    5.63    0.00    0.84    0.13    0.00    0.03    0.00    0.00    0.00   93.37
05:36:52 PM    0    4.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.96
05:36:52 PM    1    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
05:36:52 PM    2    9.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
05:36:52 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:36:52 PM    4   50.51    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   46.46
05:36:52 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:36:52 PM    6    7.92    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   91.09
05:36:52 PM    7   44.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   55.00
05:36:52 PM    8    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
05:36:52 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:36:52 PM   10    6.06    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   92.93
05:36:52 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:36:52 PM   12    5.05    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   93.94
05:36:52 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:36:52 PM   14    7.07    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   91.92
05:36:52 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:36:52 PM   16    2.97    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   96.04
05:36:52 PM   17    5.94    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   90.10
05:36:52 PM   18    2.97    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   96.04
05:36:52 PM   19    1.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   98.00
05:36:52 PM   20    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:36:52 PM   21    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
05:36:52 PM   22    2.94    0.00    0.98    1.96    0.00    0.00    0.00    0.00    0.00   94.12
05:36:52 PM   23    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
05:36:52 PM   24    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
05:36:52 PM   25    3.03    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   95.96
05:36:52 PM   26    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
05:36:52 PM   27    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
05:36:52 PM   28    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
05:36:52 PM   29    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
05:36:52 PM   30    3.96    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   95.05
05:36:52 PM   31    4.04    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   93.94

05:36:52 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:36:53 PM  all   60.05    0.00    1.27    0.00    0.00    0.00    0.00    0.00    0.00   38.68
05:36:53 PM    0   59.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   39.00
05:36:53 PM    1   59.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   40.00
05:36:53 PM    2   57.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   42.00
